"","group1","group2","n1","n2","p.adj","p.adj.signif","variable"
"1","Southeast_Asian_Asian_Cluster","South_Asian_Asian_Cluster",20,16,0.00000061249019312682,"**","Bachelor_more_Edu_Attainment"
"2","Southeast_Asian_Asian_Cluster","South_Asian_Asian_Cluster",20,16,0.0000816155497827944,"**","white_Race"
"3","Southeast_Asian_Asian_Cluster","South_Asian_Asian_Cluster",20,16,0.0000992266954162667,"**","Black_Race"
"4","Southeast_Asian_Asian_Cluster","East_Asian_Asian_Cluster",20,24,0.000150904460461712,"**","Black_Race"
"5","Southeast_Asian_Asian_Cluster","East_Asian_Asian_Cluster",20,24,0.000402778518682348,"**","Bachelor_more_Edu_Attainment"
"6","Southeast_Asian_Asian_Cluster","South_Asian_Asian_Cluster",20,16,0.000576254336878782,"**","$100+K_Income"
"7","Southeast_Asian_Asian_Cluster","South_Asian_Asian_Cluster",20,16,0.000576254336878782,"**","$100+K_Income"
"8","Southeast_Asian_Asian_Cluster","East_Asian_Asian_Cluster",20,24,0.000602160609277611,"**","white_Race"
"9","East_Asian_Asian_Cluster","Southeast_Asian_Asian_Cluster",13,18,0.009,"**","Median income in the past 12 months Total"
"10","East_Asian_Asian_Cluster","Southeast_Asian_Asian_Cluster",13,18,0.015,"*","Median gross rent Total"
"11","Southeast_Asian_Asian_Cluster","East_Asian_Asian_Cluster",20,24,0.0168793446079546,"*","$100+K_Income"
"12","Southeast_Asian_Asian_Cluster","East_Asian_Asian_Cluster",20,24,0.0168793446079546,"*","$100+K_Income"
"13","Southeast_Asian_Asian_Cluster","South_Asian_Asian_Cluster",20,16,0.0186257528800678,"*","Some_HS_or_less_Edu_Attainment"
"14","East_Asian_Asian_Cluster","Southeast_Asian_Asian_Cluster",13,18,0.024,"*","Median earnings in the past 12 months Total"
"15","South_Asian_Asian_Cluster","Southeast_Asian_Asian_Cluster",7,18,0.024,"*","Median earnings in the past 12 months Total"
"16","Southeast_Asian_Asian_Cluster","East_Asian_Asian_Cluster",20,24,0.0307919887956192,"*","Some_HS_or_less_Edu_Attainment"
"17","South_Asian_Asian_Cluster","Southeast_Asian_Asian_Cluster",7,18,0.031,"*","Median income in the past 12 months Total"
