"","Clusters","variable","n","min","max","median","q1","q3","iqr","mad","mean","sd","se","ci"
"1","AAPI_Race_Cluster","Median income in the past 12 months Total",2,17660,25016,21338,19499,23177,3678,5453.003,21338,5201.477,3678,46733.421
"2","East_Asian_Asian_Cluster","Median income in the past 12 months Total",13,4478,60737,29985,24963,44470,19507,8960.834,34300.846,15622.968,4333.032,9440.865
"3","Filipino_Asian_Cluster","Median income in the past 12 months Total",1,28717,28717,28717,28717,28717,0,0,28717,NA,NA,NA
"4","South_Asian_Asian_Cluster","Median income in the past 12 months Total",7,21344,41096,29605,25245,33415.5,8170.5,9521.257,29909.429,7096.753,2682.32,6563.402
"5","Southeast_Asian_Asian_Cluster","Median income in the past 12 months Total",18,13771,30761,20558,17701.5,24194,6492.5,5301.778,21128.5,4700.106,1107.826,2337.308
"6","AAPI_Race_Cluster","Median earnings in the past 12 months Total",2,25694,31012,28353,27023.5,29682.5,2659,3942.233,28353,3760.394,2659,33785.798
"7","East_Asian_Asian_Cluster","Median earnings in the past 12 months Total",13,6263,76553,40572,34331,61071,26740,19940.97,44401.462,19617.056,5440.793,11854.469
"8","Filipino_Asian_Cluster","Median earnings in the past 12 months Total",1,30480,30480,30480,30480,30480,0,0,30480,NA,NA,NA
"9","South_Asian_Asian_Cluster","Median earnings in the past 12 months Total",7,28657,54130,37944,33290,40668.5,7378.5,5697.632,38378.286,8234.311,3112.277,7615.467
"10","Southeast_Asian_Asian_Cluster","Median earnings in the past 12 months Total",18,21881,40315,27493,24145,32690,8545,5613.124,28867.889,5717.254,1347.57,2843.123
"11","AAPI_Race_Cluster","Median gross rent Total",2,1097,1191,1144,1120.5,1167.5,47,69.682,1144,66.468,47,597.192
"12","East_Asian_Asian_Cluster","Median gross rent Total",13,878,2461,1203,1002,1568,566,392.889,1386.615,493.599,136.9,298.279
"13","Filipino_Asian_Cluster","Median gross rent Total",1,1155,1155,1155,1155,1155,0,0,1155,NA,NA,NA
